year,NumberHWDays
1993,4.0
1994,16.0
1995,5.0
1996,3.0
1997,3.0
1998,7.0
1999,0.0
2000,13.0
2001,4.0
2002,0.0
2003,21.0
2004,4.0
2005,10.0
2006,15.0
2007,7.0
2008,3.0
2009,3.0
2010,8.0
2011,4.0
2012,9.0
2013,6.0
2014,7.0
2015,5.0
2016,9.0
2017,8.0
2018,16.0
2019,20.0
2020,4.0
