# DDHWSF Forecasts of NDQ90year,NDQ90_predictions
1979,5.17
1980,14.37
1981,18.19
1982,8.86
1983,13.02
1984,9.9
1985,11.01
1986,10.87
1987,7.43
1988,8.51
1989,22.76
1990,7.06
1991,15.5
1992,9.07
1993,11.4
1994,13.6
1995,11.66
1996,8.86
1997,11.49
1998,9.94
1999,14.43
2000,12.11
2001,21.53
2002,12.0
2003,11.73
2004,13.27
2005,11.76
2006,16.27
