2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01
1.903541638875944353e-01,5.084711320584130168e-02,7.534579633920005515e-01,5.340759514563849474e-03
4.946801613223012102e-03,4.902185833292438399e-03,9.852490517691708805e-01,4.901960784313727157e-03
9.852941175149080300e-01,4.901960784313728024e-03,4.901960916464800228e-03,4.901960784313728024e-03
9.852941176470590978e-01,4.901960784313728024e-03,4.901960784313728024e-03,4.901960784313728024e-03
9.852941176470590978e-01,4.901960784313728024e-03,4.901960784313728024e-03,4.901960784313728024e-03
4.901961071462074791e-03,9.852941173599105706e-01,4.901960784313726290e-03,4.901960784313726290e-03
4.901960784313726290e-03,4.901964541304251397e-03,9.852941138900683793e-01,4.901960784313726290e-03
4.901960784313726290e-03,4.901964541304251397e-03,9.852941138900683793e-01,4.901960784313726290e-03
9.852941171026270428e-01,4.901960784313726290e-03,4.901961328745742252e-03,4.901960784313726290e-03
9.852941176470590978e-01,4.901960784313728024e-03,4.901960784313728024e-03,4.901960784313728024e-03
4.901961385615710189e-03,4.901960784313726290e-03,4.901960784313726290e-03,9.852941170457568676e-01
