,mslpEurope_cluster1,mslpEurope_cluster2,mslpEurope_cluster3,mslpEurope_cluster4,mslpEurope_cluster5,smEurope_cluster1,smEurope_cluster2,smEurope_cluster3,smEurope_cluster4,smEurope_cluster5,tmaxEurope_cluster1,tmaxEurope_cluster2,tmaxEurope_cluster3,tmaxEurope_cluster4,tmaxEurope_cluster5,z500Europe_cluster1,z500Europe_cluster2,z500Europe_cluster3,z500Europe_cluster4,z500Europe_cluster5,sstWorld_cluster1,sstWorld_cluster2,sstWorld_cluster3,sstWorld_cluster4,sstWorld_cluster5,sstMediterranean_cluster1,sstMediterranean_cluster2,sstMediterranean_cluster3,sstMediterranean_cluster4,sstMediterranean_cluster5,olrTropics_cluster1,olrTropics_cluster2,olrTropics_cluster3,olrTropics_cluster4,olrTropics_cluster5,weekofyear,data_CO2
1979-01-01,289.63585125,-419.6024037500001,-303.002055,394.0688775,602.3545,-0.00334064692375,0.0010074934775,0.0011556341575,0.0006971440875,-0.0051293409375,-7.336307075000001,-0.6984873,-7.6056993825,-1.468659795,-10.269248112499998,-45.75450425,-27.807268875,-77.867206,-72.86091175625,-82.23760675,-0.0470819039619527,0.2302081882953643,0.0563930617645382,-0.1482075210660695,-0.2255275291390717,-0.3560542948544025,-0.2528284173458814,0.4101830818690359,-0.2415231578052043,0.050777395023033,4.2488620625,1.2486990374999998,-2.5822392375,5.033567787499999,18.6864160625,1,335.8253025
1979-01-08,343.57959875000006,-517.403788375,-257.02661750000004,-30.671157499999936,-171.09523000000004,0.0135069437799999,0.0022849603,0.0149278057875,-0.0017201810787499,-0.0041239881625,-1.96707351,-1.3199503737500002,-0.5437995999999999,-1.532633075,1.822205875,-39.988137875,-64.42302654999999,-25.495887250000003,-84.018417375,-1.4356512499999994,-0.0372093774058157,0.2543757148087024,0.0288329126778989,-0.1896401084959506,-0.0592107323464006,-0.4846777617931366,-0.3332982920110225,0.2074674125760793,-0.1724755028262733,0.1563389273360371,-0.6909305874999996,1.267024649625,-0.7428390249999999,3.7624110625,15.033374125,2,335.85587375
1979-01-15,2593.0800375,600.735996625,-657.72436125,2456.2845875,463.9463145,0.0132999019999999,-0.0072807893625,0.0244050977125,-0.00635444024125,-0.0088336390375,-5.18432485,-0.0554665545,-0.40843908125,-1.077729760125,-4.6652138,-68.542128125,5.530041124999997,-7.282436037500002,243.603688875,213.8979835,-0.1192587018013,0.1515355873852967,0.0755408112891018,-0.1842000596225261,-0.1401434345170855,-0.4299375973641872,-0.4707761146128177,0.300422228872776,-0.0027722124941647,0.4008985888212919,-22.052529375,-0.7542511912500001,17.280376125,-6.390962225000001,22.73743275,3,335.8864375
1979-01-22,322.5375375,-533.865132875,-989.97564,43.478370375,-1141.83165675,0.02096641775,0.001337767555,0.066726033125,8.096444999999928e-05,-0.0120414028125,-0.7227870825,0.9445490875,-7.5032800625,-0.418247834125,-1.0323572250000002,-98.469881875,-181.714159625,44.8097546375,-84.55265250000001,-59.4635445,0.0097843082621693,0.2095378916710614,0.0415339621249585,-0.2141141928732395,-0.2857234068214893,-0.1532952217385172,-0.3559464793652296,0.091465687379241,0.4144942015409469,0.6726512685418129,-12.456726625,-1.47512985875,17.14966175,-0.9142007124999996,5.3564994125,4,335.91700875
1979-01-29,-851.59051125,-1171.5344125,-503.68962625,-1082.9772,-1421.1736312500002,0.0096865886625,0.0108868804875,0.046163647875,0.017537931625,-0.0118245686875,0.845577595,3.23620407875,-5.1711267625,-0.0565616075,3.7810552625,-30.471765955,-142.01068875,12.2773813225,-168.1813675,-117.553368,-0.0254567204974591,0.2165132947266101,0.0667776260524987,-0.1704029142856597,-0.2327203955501317,-0.1216841181740164,-0.2387931458652019,0.7921329066157341,0.4229968078434467,0.5377036333084106,-7.8899131125,1.7028244762500002,8.384243625,-19.097536575,4.4300030375,5,335.9475825
1979-02-05,147.37065900000002,-1143.93489375,-1195.68388875,-1153.5447399999998,-1927.97085,0.0132326755625,0.01121872825,0.0246281108749999,0.0008658043999999,-0.0120401314375,-0.9194721925,3.2717970375,-6.3960709,2.527093825,-1.59027888125,-45.38802838,-147.63677,-13.0391092025,-52.290934375,-196.33768875,-0.0178037619916722,0.0697473473846911,0.037029520375654,-0.1188572300598024,-0.3177947290241718,-0.0773121763486415,0.0219832370057702,1.2842618823051453,0.5497839078307152,0.5815801024436951,-5.4594324125,3.2637705375,20.157855625,-23.04727975,3.8430567125,6,335.97814875
1979-02-12,1368.5135775,-247.73359125,-754.6580287500001,1429.53564875,-708.80186725,0.0112557299999999,0.0084652275566374,0.046551828375,-0.0052611281999999,-0.0115866269375,-2.30305017375,5.109532075000001,-5.622965164999999,-2.39200949375,-6.6932136625,-103.4941300875,-74.85530137500001,42.274456875,128.9803,43.7147500625,-0.0024712720187381,0.0300921755842864,-0.0067370072065386,-0.1046207146719097,-0.3065558727830648,0.1369723053649067,0.0648033237084746,1.506509318947792,0.2445871718227863,0.2333414922468364,-3.5330179025,2.5472358375,8.4692244,-18.524318125,-6.025362075,7,336.0087175
1979-02-19,835.4197348749999,1083.58080875,220.32877875,1526.5215675,1324.6019,0.00345588679875,-0.0047059603058625,0.05828507375,-0.0137662188125,-0.0107577882375,-4.8955764,-1.125814975,0.4231705837500001,-2.969039025,-4.4331717875,-3.9576646175,113.45103450000002,-14.9179656625,135.05129425,167.11103125,-0.1010817475616931,0.0571167536545544,0.0306075291446177,-0.1327574020251631,-0.2653967104852199,-0.0199009536299854,0.2618349622935056,1.0219833254814148,0.0121917964424938,0.0659810104407369,10.52945385,2.8548772575,4.0384886575,-7.898190362499999,3.9864029625,8,336.03929125
1979-02-26,-1961.267191375,835.95219875,489.922619375,-796.836987,132.83389599999998,0.00119035628,0.0064118607625,0.057183875875,-0.00740278475,-0.0036877882325,-1.22635993375,-0.05823780125,3.687493125,-3.1485858,1.14276789875,-6.475684375,-14.524544875,47.7869720625,-199.691110125,14.2575229125,-0.102450001053512,0.0543885040096938,0.0314950190950184,-0.1075477823615073,-0.3423962127417326,-0.059428721666336,0.2819669572636485,1.4413852617144585,0.0337014815886504,-0.0137184401974082,9.358145925,1.68391873625,-7.8400008175,-3.733647545,-2.2832759750000005,9,336.06986125000003
1979-03-05,-1930.49427,110.44835,251.50938125,-434.083590875,-613.67788125,0.0061024971375,0.026335539625,0.03593114125,0.01287217125,0.0015010673575,-0.6251822275,-0.430285975875,3.1544267999999995,-0.5661163875000002,0.99988155125,24.113098375,-79.561679,-2.3406291875,-192.053702,19.4998639,-0.1353185884654521,0.0143258239841088,0.0287740752100944,-0.0608707326464354,-0.1148331621661781,0.1015651156194507,0.2484856350347399,0.6701949089765549,0.2098099410068243,0.0656439246376976,14.59441155,-0.189309475,-9.829832875,8.79074425,2.596704129999999,10,336.10042375
1979-03-12,993.54368875,-795.1784525,-583.7926625,-53.695511,-721.738122,0.0001252591145,0.027286147125,0.031373354,0.0104128057125,-0.009887599175,0.23351709375,2.8832884775,-6.02646864125,-1.49708891625,-1.88887996625,-101.3328860625,-138.08515625,12.79777595875,26.80414025,-103.592321875,-0.1679144836962222,-0.0812366125173866,0.0612976201809942,-0.1052338881418108,-0.2414552839472889,0.2529997657984495,0.2943010926246643,0.7859219163656235,0.3533702604472637,-0.0461205106694251,7.0960272625,1.83397876445,-8.4185137625,-10.72107639375,19.081892625,11,336.130995
1979-03-19,-885.3861267499999,-218.1621715,-257.77460087500003,-550.75035,-1260.82925,-0.0022640911125,0.02619896975,0.045287849125,0.0203900621875,-0.014091863625,0.1275927224999999,2.4401629812500003,-2.6057251925,-1.47052086125,-1.90593082125,-59.13344750000001,-180.04718625,21.669294875,-157.85673875,-58.8614443375,-0.1468738578259944,-0.1687664887867867,0.0483132440131157,-0.1167724784463643,-0.4931035749614239,0.2926379311829805,0.3988944571465254,1.266608513891697,0.350508963689208,-0.252871174365282,0.6605664249999998,-1.7245631118,11.546215425,-1.601247175,14.8498503375,12,336.16157
1979-03-26,-660.37054625,-727.4700475,-263.27140575,-22.850347,-761.7878675,0.0027462321499999,0.036664959375,0.0320423491249999,0.037739630125,0.002210581275,-0.6839408487499999,2.63661625,1.3443312387500002,-3.08355732,-0.2896307787499999,-81.92674199999999,-123.91413775,5.6282477625,-68.10223049999999,50.574240625,-0.0728101381100713,0.1534665478393435,0.0401297975331544,-0.1410660231485962,-0.0445247888565063,0.285854710265994,0.3098372239619493,1.3726565092802048,0.0460754293017089,-0.3864759504795074,-4.088318825,3.5113529750000003,12.5717456625,-6.862617845,-5.962987321250001,13,336.1921325
