,mslpEurope_cluster1,mslpEurope_cluster2,mslpEurope_cluster3,mslpEurope_cluster4,mslpEurope_cluster5,smEurope_cluster1,smEurope_cluster2,smEurope_cluster3,smEurope_cluster4,smEurope_cluster5,tmaxEurope_cluster1,tmaxEurope_cluster2,tmaxEurope_cluster3,tmaxEurope_cluster4,tmaxEurope_cluster5,z500Europe_cluster1,z500Europe_cluster2,z500Europe_cluster3,z500Europe_cluster4,z500Europe_cluster5,mslpWorld_cluster1,mslpWorld_cluster2,mslpWorld_cluster3,mslpWorld_cluster4,mslpWorld_cluster5,z500World_cluster1,z500World_cluster2,z500World_cluster3,z500World_cluster4,z500World_cluster5,sstWorld_cluster1,sstWorld_cluster2,sstWorld_cluster3,sstWorld_cluster4,sstWorld_cluster5,olrNorthAtlantic_cluster1,olrNorthAtlantic_cluster2,olrNorthAtlantic_cluster3,olrNorthAtlantic_cluster4,olrNorthAtlantic_cluster5,sstNorthAtlantic_cluster1,sstNorthAtlantic_cluster2,sstNorthAtlantic_cluster3,sstNorthAtlantic_cluster4,sstNorthAtlantic_cluster5,sstMediterranean_cluster1,sstMediterranean_cluster2,sstMediterranean_cluster3,sstMediterranean_cluster4,sstMediterranean_cluster5,olrTropics_cluster1,olrTropics_cluster2,olrTropics_cluster3,olrTropics_cluster4,olrTropics_cluster5,sicArctic_cluster1,sicArctic_cluster2,sicArctic_cluster3,sicArctic_cluster4,sicArctic_cluster5,weekofyear,data_CO2
1979-01-01,289.63585125,-419.6024037500001,-303.002055,394.06887750000004,602.3545,-0.00334064692375,0.0010074934775000002,0.0011556341575,0.0006971440875000001,-0.0051293409375,-7.336307075000001,-0.6984873,-7.6056993825,-1.468659795,-10.269248112499998,-45.75450425,-27.807268875000002,-77.867206,-72.86091175625,-82.23760675,115.533224125,-6.3551481875,-254.629222875,325.86364025,-49.4517005,-23.298899125,139.437009375,28.3869151875,-10.907612675,4.484579037500001,-0.04708190396195275,0.23020818829536435,0.05639306176453823,-0.14820752106606955,-0.2255275291390717,-13.413990625,-6.796453375,-1.0518838000000001,4.2460306999999995,-1.1113186,-0.3753747269511223,-0.558047816157341,-0.3317383620887995,-0.7878631576895714,0.22318571060895914,-0.35605429485440254,-0.25282841734588146,0.41018308186903596,-0.24152315780520436,0.050777395023033,4.2488620625,1.2486990374999998,-2.5822392374999996,5.033567787499999,18.6864160625,-0.0076600384250000006,0.39697335499999997,-0.021479424375,-0.0072604494125,0.030354692375,1,335.8253025
1979-01-08,343.57959875000006,-517.403788375,-257.02661750000004,-30.671157499999936,-171.09523000000004,0.013506943779999999,0.0022849603,0.014927805787500002,-0.0017201810787499999,-0.0041239881625,-1.96707351,-1.3199503737500002,-0.5437995999999999,-1.5326330750000001,1.8222058749999999,-39.988137875,-64.42302654999999,-25.495887250000003,-84.018417375,-1.4356512499999994,16.604276999999996,-49.94455262499999,-70.5708745,915.49337625,202.4990525,-11.215522975,104.259684375,19.323870575,-8.651043325,36.3468964125,-0.037209377405815716,0.25437571480870247,0.028832912677898975,-0.18964010849595064,-0.059210732346400605,-6.942692512499999,-1.4127068,-5.1908466875,5.440727837500001,2.2823427625,-0.29884516820311546,-0.38981204107403755,-0.32945580035448074,-0.6928319856524467,0.1735826805233955,-0.4846777617931366,-0.33329829201102257,0.20746741257607937,-0.17247550282627339,0.1563389273360371,-0.6909305874999996,1.267024649625,-0.7428390249999999,3.7624110625,15.033374125,-0.004289696024999999,0.39473472249999997,-0.022123394375,-0.005827858825,0.028121464875,2,335.85587375
1979-01-15,2593.0800375,600.735996625,-657.72436125,2456.2845875,463.94631449999997,0.013299901999999999,-0.0072807893625,0.0244050977125,-0.00635444024125,-0.0088336390375,-5.18432485,-0.05546655450000004,-0.40843908125000006,-1.077729760125,-4.6652138,-68.542128125,5.530041124999997,-7.282436037500002,243.603688875,213.8979835,-83.25825000000003,-20.1319891375,-146.767684875,905.532183875,-417.57451625,-9.619176575,81.66130955000001,-12.907117985,-10.780764625,41.4038554125,-0.11925870180130002,0.15153558738529677,0.07554081128910181,-0.18420005962252617,-0.14014343451708552,-0.7173377375000001,-8.8354001875,3.8486952462499997,-0.33746303437499936,6.23781196875,-0.2472847942262888,-0.6052869483828545,-0.4243934899568558,-0.5949070081114769,0.17900283262133593,-0.42993759736418724,-0.47077611461281776,0.30042222887277603,-0.00277221249416474,0.4008985888212919,-22.052529375,-0.7542511912500001,17.280376125,-6.390962225000001,22.73743275,-0.0072150272875,0.34226293750000003,-0.02137243675,-0.00060283798875,0.011501209087499999,3,335.8864375
1979-01-22,322.5375375,-533.865132875,-989.9756400000001,43.478370375,-1141.8316567499999,0.02096641775,0.001337767555,0.066726033125,8.096444999999928e-05,-0.012041402812500001,-0.7227870825,0.9445490875000001,-7.5032800625,-0.418247834125,-1.0323572250000002,-98.469881875,-181.714159625,44.8097546375,-84.55265250000001,-59.4635445,-505.46504625,-31.4858020125,-611.9219537500001,1787.878275,438.65766675,-23.445277325,123.38696562500002,-53.066371125,-4.999285599999999,66.13259525,0.009784308262169361,0.20953789167106146,0.041533962124958586,-0.2141141928732395,-0.28572340682148933,-14.031395125,-4.5577145625,5.606559625000001,-7.0155019575,-1.7426404687500003,-0.3507438786327839,-0.6050584092736244,-0.3354395776987076,-0.6791098043322563,0.2783604171127081,-0.15329522173851726,-0.3559464793652296,0.09146568737924102,0.41449420154094696,0.6726512685418129,-12.456726625,-1.47512985875,17.14966175,-0.9142007124999996,5.3564994125,0.0006458268749999999,0.3868819225,-0.01058553445,0.008613344775,0.035559243375,4,335.91700875
1979-01-29,-851.59051125,-1171.5344125000001,-503.68962624999995,-1082.9772,-1421.1736312500002,0.0096865886625,0.0108868804875,0.046163647875,0.017537931625000003,-0.011824568687500002,0.845577595,3.23620407875,-5.1711267625,-0.056561607500000055,3.7810552625,-30.471765955000002,-142.01068875,12.2773813225,-168.1813675,-117.553368,-334.81901374999995,-36.314244875,-649.05635375,1226.02905,753.9423912499999,-27.1407194875,-7.243562406250001,-74.591656625,-1.2518528199999999,35.715676425,-0.02545672049745918,0.21651329472661016,0.06677762605249876,-0.17040291428565973,-0.23272039555013177,-5.694049799999999,-0.7379581925,-2.0808119875,5.76675605,-2.59175774375,-0.5486181154847145,-0.5359900444746017,-0.2159566655755043,-0.7777267843484879,0.39155276492238045,-0.12168411817401643,-0.2387931458652019,0.7921329066157341,0.42299680784344673,0.5377036333084106,-7.8899131125,1.7028244762500002,8.384243625,-19.097536575,4.4300030375,0.004269116825,0.34882420000000003,-0.00565411005,0.00284301153,0.023928288625000002,5,335.9475825
1979-02-05,147.37065900000002,-1143.93489375,-1195.68388875,-1153.5447399999998,-1927.9708500000002,0.0132326755625,0.01121872825,0.024628110874999998,0.0008658043999999997,-0.0120401314375,-0.9194721925,3.2717970375,-6.3960709,2.5270938249999997,-1.59027888125,-45.38802838,-147.63677,-13.0391092025,-52.290934375,-196.33768874999998,-370.18193625000004,-37.9106513125,-204.24468825,1124.9347625,566.6841212500001,-26.047532625000002,-28.950631724999997,-21.938026150000002,-2.8904521655,-31.78180645,-0.0178037619916722,0.06974734738469117,0.03702952037565405,-0.11885723005980248,-0.31779472902417183,-7.56422065,-0.3322045737499998,-6.11012835,4.04474524625,0.05853498749999986,-0.7623859345912933,-0.7309215664863586,-0.09971134690567846,-1.0121583491563797,0.43782640993595123,-0.07731217634864153,0.021983237005770206,1.2842618823051453,0.5497839078307152,0.5815801024436951,-5.4594324125,3.2637705375,20.157855625,-23.04727975,3.8430567125,0.0040111291,0.3187044225,-0.014260731687499998,-0.00399373657125,0.0139013436875,6,335.97814875
1979-02-12,1368.5135774999999,-247.73359125000002,-754.6580287500001,1429.53564875,-708.80186725,0.011255729999999999,0.008465227556637499,0.046551828375,-0.0052611281999999995,-0.0115866269375,-2.30305017375,5.109532075000001,-5.622965164999999,-2.39200949375,-6.6932136625,-103.4941300875,-74.85530137500001,42.274456875,128.9803,43.7147500625,383.38465874999997,-42.8251884125,202.50062874999998,-573.08018875,-20.711792000000017,15.1154148375,-55.85654422499999,26.4725985,-4.3924220625,-147.5499025,-0.0024712720187381014,0.0300921755842864,-0.006737007206538685,-0.10462071467190975,-0.30655587278306484,-4.8380939875,6.1244042499999995,-2.6305823874999996,-1.5138597874999997,-2.18600879875,-1.056982234120369,-0.9817385300993919,-0.23771606944501397,-1.0791863650083542,0.43572304025292397,0.13697230536490676,0.06480332370847465,1.506509318947792,0.24458717182278633,0.2333414922468364,-3.5330179025,2.5472358374999997,8.4692244,-18.524318125,-6.025362075,0.0119457116,0.37968151875,-8.926910250000003e-05,0.009045736674999999,0.025079328562500003,7,336.0087175
1979-02-19,835.4197348749999,1083.58080875,220.32877874999997,1526.5215675,1324.6019000000001,0.00345588679875,-0.0047059603058625,0.05828507375,-0.0137662188125,-0.0107577882375,-4.8955763999999995,-1.125814975,0.4231705837500001,-2.969039025,-4.4331717875,-3.9576646175,113.45103450000002,-14.9179656625,135.05129425,167.11103125,-179.2977375,-17.917817175000003,-89.91184275,-179.7720225,-153.03434675,-27.951413949999996,4.8214977,-6.730407187500003,-3.3631129749999995,-112.04654975,-0.10108174756169316,0.05711675365455445,0.030607529144617715,-0.13275740202516312,-0.26539671048521996,5.9327586750000005,1.91350511,0.8149564657500001,-0.96817739625,-4.73737302625,-0.9733728840947151,-1.1181516572833061,-0.3887324035167694,-0.9313925877213478,0.27587703987956047,-0.01990095362998546,0.26183496229350567,1.0219833254814148,0.012191796442493802,0.06598101044073695,10.52945385,2.8548772575,4.0384886575,-7.898190362499999,3.9864029624999997,0.0027641461,0.34259773875,-0.0021996712187499997,0.0051350450750000005,0.01312758805,8,336.03929125
1979-02-26,-1961.267191375,835.95219875,489.922619375,-796.836987,132.83389599999998,0.00119035628,0.0064118607625,0.057183875875,-0.00740278475,-0.0036877882325,-1.22635993375,-0.058237801250000054,3.687493125,-3.1485857999999998,1.14276789875,-6.475684375,-14.524544875,47.7869720625,-199.691110125,14.2575229125,-174.635145625,34.417321125,-236.42823437500002,-198.59548937500003,-42.43688312499998,20.253537750000003,-76.70453425,2.7529915625,0.9769766000000001,-59.92566637499999,-0.10245000105351205,0.054388504009693826,0.031495019095018485,-0.10754778236150737,-0.3423962127417326,2.3194902125,0.72887522,-6.190701600000001,8.715329025,0.029152875000000078,-0.7379806786775589,-0.6347565427422523,-0.43666061758995056,-0.8384086415171623,0.20295926928520203,-0.059428721666336046,0.2819669572636485,1.4413852617144585,0.033701481588650495,-0.0137184401974082,9.358145925,1.6839187362499999,-7.8400008175,-3.7336475449999997,-2.2832759750000005,0.0033944169775,0.32514026500000004,-0.0011889562106375,0.0032164965625000002,0.0012642767374999998,9,336.06986125000003
1979-03-05,-1930.4942700000001,110.44835,251.50938125000002,-434.083590875,-613.67788125,0.0061024971375,0.026335539625,0.03593114125,0.01287217125,0.0015010673575,-0.6251822275,-0.430285975875,3.1544267999999995,-0.5661163875000002,0.9998815512499999,24.113098375,-79.561679,-2.3406291874999994,-192.05370200000002,19.4998639,-222.18719950000002,22.941870624999996,-613.2698499999999,758.62395125,67.23171499999998,-29.663807249999998,-3.0741140625000014,-53.216749125,0.938190675,68.60861125,-0.13531858846545214,0.01432582398410885,0.028774075210094414,-0.06087073264643545,-0.11483316216617817,3.1912221625000003,2.758928515,-3.8721755374999995,2.6820780374999997,2.0770012624999996,-0.6406917497515678,-0.439018614590168,-0.443904597312212,-0.640725813806057,0.15701373107731342,0.10156511561945075,0.24848563503473994,0.6701949089765549,0.20980994100682435,0.0656439246376976,14.59441155,-0.18930947500000006,-9.829832875000001,8.79074425,2.596704129999999,0.0008080461675,0.235372465,-0.0072936182375000005,0.0035537534499999997,-0.0031125250425,10,336.10042375
